age,gender,Symptom1,Symptom2,Symptom3,Symptom4,Symptom5,Symptom6,Symptom7,Symptom8,Symptom9,Symptom10,Symptom11,Symptom12,diseases,Description
all,both,Upper Abdominal Pain,Colicky Pain,Nausea and Vomiting,Triggered by Eating,none,none,none,none,none,none,none,none,Biliary colic,"Biliary colic is a term used to describe pain resulting from the contraction of the gallbladder,usually due to the presence of gallstones."
all,both,Abdominal Pain,Jaundice,Unexplained Weight Loss,Loss of Appetite,Fatigue,Digestive Issues,New-Onset Diabetes,none,none,none,none,none,pancreotic tumor,"Pancreatic tumors can be benign or malignant, and the most common type of malignant pancreatic tumor is pancreatic adenocarcinoma."
all,both,Flank Pain,Abdominal Pain,Urinary Symptoms,Hematuria,Swelling,Nausea and Vomiting,none,none,none,none,none,none,ureteral obstraction,"Ureteral obstruction occurs when there is a blockage or constriction in one or both of the ureters, the tubes that carry urine from the kidneys to the bladder. This obstruction can lead to various symptoms and complications."
all,both,Abdominal Pain,Distended Abdomen,Vomiting,Constipation or Diarrhea,Inability to Pass Gas,Abdominal Tenderness,none,none,none,none,none,none,intestinal obstruction,"Intestinal obstruction occurs when there is a blockage in the small or large intestine, preventing the normal passage of digested food and liquids. This is a serious condition that requires prompt medical attention."
all,both,Severe Pain,Swelling,Redness or Discoloration,Nausea and Vomiting,Fever,Inability to Pass Gas or Have a Bowel Movement,none,none,none,none,none,none,strangulation of hernia,"Strangulated hernia is a medical emergency that occurs when the blood supply to a portion of the herniated organ (usually the intestine) becomes compromised. This condition requires immediate medical attention, as it can lead to serious complications."
all,both,Sudden and Severe Abdominal Pain,Rigidity and Tenderness of the Abdomen,Guarding,Nausea and Vomiting,Fever,Distension of the Abdomen,Shock,none,none,none,none,none,perforated viscus,"A perforated viscus refers to a condition where there is a hole or rupture in a hollow organ in the body. This is a medical emergency that requires immediate attention and intervention. Various organs can be affected, including the stomach, intestines, or appendix."
all,both,Chest Pain,Abdominal Pain,Pleuritic Breathing,Pericarditis Symptoms,Fever,Shortness of Breath,none,none,none,none,none,none,serositis,"Serositis refers to inflammation of the serous membranes, which are the thin layers of tissue that line certain cavities in the body, including the pleura (lining around the lungs), pericardium (lining around the heart), and peritoneum (lining the abdominal cavity). Serositis can be associated with various underlying conditions, and its presentation may vary."
all,both,Cough,Fever,Shortness of Breath,Chest Pain,Fatigue,Sweating,Chills,Nausea and Vomiting,Confusion,none,none,none,pneumonia,"Pneumonia is an inflammatory condition of the lung that affects the air sacs, filling them with pus and other liquid. It can be caused by various infectious agents, including bacteria, viruses, and fungi."
all,both,Developmental Delays,Abdominal Pain and Cramps,Fatigue,Irritability,Loss of Appetite,Constipation,Joint and Muscle Pain,Headaches,Anemia,Neurological Symptoms,none,none,lead poisoning,"Lead poisoning is a serious condition caused by the ingestion or inhalation of lead-containing substances. Lead exposure can have harmful effects on various organs, especially the nervous system and kidneys."
all,both,Fatigue,Nausea and Vomiting,Loss of Appetite,Itching (Pruritus),Muscle Cramps and Twitching,Swelling (Edema),Shortness of Breath,Confusion and Cognitive Changes,Irregular Heartbeat,High Blood Pressure,none,none,uremia,"Uremia is a serious medical condition that occurs when the kidneys are unable to adequately filter waste products from the blood, leading to a buildup of these substances in the body. Uremia is often associated with advanced kidney disease or kidney failure."
all,both,Sudden and Severe Fatigue,Abdominal Pain,Low Blood Pressure,Dehydration,Confusion or Loss of Consciousness,Hyperpigmentation,Salt Cravings,Low Blood Sugar (Hypoglycemia),none,none,none,none,addisonian crisis,"Addisonian crisis, also known as an adrenal crisis, is a life-threatening condition that occurs due to a severe deficiency of cortisol and, in some cases, aldosterone. This condition is associated with primary adrenal insufficiency, commonly known as Addison's disease."
early childhood,both,Pain Crisis (Vaso-Occlusive Crisis),Anemia,Jaundice,Swelling of Hands and Feet,Frequent Infections,Delayed Growth,Vision Problems,Organ Damage,none,none,none,none,sickle cell disease,"Sickle cell disease (SCD) is a genetic disorder that affects the red blood cells, causing them to become rigid and assume a sickle or crescent shape. This alteration in shape can lead to various complications, including pain, anemia, and organ damage."
all,both,Flu-Like,Gastrointestinal Distress,Agitation and Anxiety,Insomnia,Sweating,Dilated Pupils,Runny Nose and Sneezing,Yawning,Goosebumps (Piloerection),Elevated Heart Rate and Blood Pressure,none,none,Narcotic Withdrawal,"Narcotic withdrawal refers to the set of symptoms that occur when a person dependent on or addicted to narcotics (opioids) abruptly stops or significantly reduces their use. Opioids include substances such as heroin, prescription painkillers (e.g., oxycodone, morphine), and synthetic opioids (e.g., fentanyl). It's important to note that opioid dependence and withdrawal are not exclusive to a particular gender or age group."
old adult,both,Chest Pain or Discomfort,Radiating Pain,Shortness of Breath,Sweating,Nausea or Vomiting,Light-headedness or Dizziness,Fatigue,none,none,none,none,none,myocardial infarction,"Myocardial infarction, commonly known as a heart attack, occurs when blood flow to a part of the heart muscle is blocked, leading to damage or death of the heart tissue."
all,both,Pain at the Bite Site,Muscle Pain and Stiffness,Abdominal Pain and Cramping,Sweating and Fever,Nausea and Vomiting,Headache,Restlessness and Anxiety,Elevated Blood Pressure and Heart Rate,none,none,none,none,black window spider bite,"Black widow spiders are venomous spiders found in various parts of the world, including North America. Bites from black widow spiders can cause symptoms known as latrodectism."
all,both,Sensory Ataxia,Lightning Pains,Areflexia,Argyll Robertson Pupils,Charcot Joints,Gait Abnormalities,Bladder and Bowel Dysfunction,Impaired Position Sense,none,none,none,none,tabes dorsalis,"Tabes dorsalis is a rare neurological manifestation of late-stage syphilis infection. It affects the sensory nerves in the dorsal columns of the spinal cord, leading to various neurological symptoms. It is essential to note that syphilis is a sexually transmitted infection caused by the bacterium Treponema pallidum."
all,both,Cutaneous,Abdominal,Psychiatric,Urinary,Respiratory,none,none,none,none,none,none,none,porphyria,"Porphyria refers to a group of rare genetic disorders that affect the nervous system or skin, often involving the abnormal accumulation of substances called porphyrins. The symptoms can vary depending on the specific type of porphyria."
old adult,both,Sudden Onset of Weakness or Numbness,Difficulty Speaking or Understanding Speech,Vision Problems,Severe Headache,Dizziness or Loss of Balance,Facial Drooping,none,none,none,none,none,none,stroke,A stroke is a medical emergency that occurs when there is a disruption of blood flow to the brain. This can lead to damage to brain cells due to the lack of oxygen and nutrients. Strokes can be ischemic (caused by a blockage) or hemorrhagic (caused by bleeding).
all,both,Dysphagia,Regurgitation,Chest Pain,Weight Loss,Heartburn,Cough,Fatigue,none,none,none,none,none,Achalasia,"Achalasia is a rare disorder that affects the esophagus, the muscular tube that connects the throat to the stomach. It is characterized by the inability of the lower esophageal sphincter (LES) to relax properly, leading to difficulty in moving food and liquid from the esophagus into the stomach."
all,both,Heartburn,Difficulty Swallowing (Dysphagia),Pain or Discomfort,Regurgitation,Nausea and Vomiting,Chest Pain,Weight Loss,Chronic Cough,none,none,none,none,Esophagitis,"Esophagitis is the inflammation of the esophagus, the tube that carries food from the mouth to the stomach. The condition can result from various causes, and its severity can range from mild to severe."
old adult,both,Tremors,Bradykinesia,Rigidity,Postural Instability,Impaired Coordination,Shuffling Gait,Speech Changes,Facial Expression Changes,Micrographia,none,none,none,Parkinson disease,Parkinson's disease is a progressive neurodegenerative disorder that affects movement control. It is characterized by the gradual loss of dopamine-producing cells in the brain.
all,male,Dysphagia,Weight Loss,Chest Pain or Discomfort,Chronic Cough,Hoarseness,Regurgitation,Heartburn,Fatigue,none,none,none,none,Esophogeal Cencer,"Esophageal cancer is a type of cancer that occurs in the esophagus, the tube that carries food from the throat to the stomach. There are two main types of esophageal cancer: squamous cell carcinoma and adenocarcinoma"
middle adult,female,Calcinosis,Raynaud's Phenomenon,Esophageal Dysmotility,Sclerodactyly,Telangiectasia,Joint Pain,Muscle Weakness,Lung Involvement,Kidney Involvement,Digestive Issues,none,none,Crest syndrome,"CREST syndrome, also known as limited scleroderma, is a subtype of systemic sclerosis, which is an autoimmune connective tissue disorder. The term ""CREST"" represents the main features of the syndrome: Calcinosis, Raynaud's phenomenon, Esophageal dysmotility, Sclerodactyly, and Telangiectasia"
young adult,both,Abdominal Pain,Diarrhea,Weight Loss,Fatigue,Fever,Joint Pain,Rectal Bleeding,Perianal Symptoms,Reduced Appetite,Nutritional Deficiencies,none,none,crohn's disease,"Crohn's disease is a chronic inflammatory bowel disease (IBD) that can affect any part of the digestive tract, from the mouth to the anus. It is characterized by inflammation and damage to the gastrointestinal tract"
all,both,Dysphagia,Pain or Discomfort,Regurgitation,Gagging or Choking,Coughing,Vomiting,Weight Loss,none,none,none,none,none,impacted foreign body or food bolus,"An impacted foreign body or food bolus in the digestive tract refers to an object or mass of food that becomes stuck and causes a blockage. This condition can occur in various parts of the digestive system, including the esophagus, stomach, or intestines."
all,both,Pain or Discomfort,Swelling,Redness,Pus Drainage,Bad Breath,Tooth Sensitivity,Loose Teeth,Fever,none,none,none,none,local oral infection,"A local oral infection refers to an infection that occurs in the mouth or oral cavity. Common examples include dental infections, gum infections (gingivitis or periodontitis), and oral abscesses"
young child,both,Motor Impairments,Spasticity,Athetosis,Ataxia,Speech and Language Difficulties,Fine Motor Skill Impairments,Gait Disturbances,Joint and Bone Issues,Intellectual Impairments,Seizures,none,none,cerebral palsy,"Cerebral palsy (CP) is a group of neurological disorders that affect movement, posture, and muscle coordination. It is caused by damage or abnormalities in the developing brain, often occurring before birth or during early childhood"
all,both,Muscle Weakness,Double Vision (Diplopia),Ptosis,Difficulty Swallowing (Dysphagia),Speech Changes,Fatigue,Shortness of Breath,Facial Muscle Weakness,Limited Facial Expressions,Worsening Symptoms with Activity,none,none,myasthenia graris,"Myasthenia gravis is a chronic autoimmune neuromuscular disorder that causes weakness in the skeletal muscles, particularly those that control eye movements, facial expressions, chewing, swallowing, and talking."
young child,female,Neck Mass,Painless Swelling,Difficulty Swallowing,Pain or Redness,Drainage,none,none,none,none,none,none,none,thyroglossal duct cyst,"A thyroglossal duct cyst is a congenital (present at birth) anomaly that arises from a persistent thyroglossal duct, which is a structure that forms during the development of the thyroid gland in the embryo. The cyst is typically located in the midline of the neck"
middle adult,both,Muscle Weakness,Pain and Tenderness,Fatigue,Skin Rash,Difficulty Swallowing,Joint Pain,Shortness of Breath,Weight Loss,none,none,none,none,inflammatory mypathy,Inflammatory myopathy refers to a group of rare autoimmune disorders that cause inflammation and weakness in the muscles. Two primary types of inflammatory myopathy are polymyositis and dermatomyositis.
all,male,Muscle Weakness,Difficulty Walking,Muscle Atrophy,Contractures,Respiratory Issues,Cardiac Involvement,Cognitive Impairment,none,none,none,none,none,muscular dystrophy,"Muscular dystrophy (MD) refers to a group of genetic disorders characterized by progressive muscle weakness and degeneration. There are various types of muscular dystrophy, each with its specific characteristics"
all,both,Pain,Numbness or Tingling,Weakness,Loss of Reflexes,Changes in Sensation,Motor Impairments,Burning Sensation,Loss of Function,none,none,none,none,iatrogenic nerve damage,"Iatrogenic nerve damage refers to nerve injuries or damage caused by medical interventions or treatments. These injuries may occur as unintended side effects of medical procedures, surgeries, or certain medical treatments."
all,both,Oral Ulcers,Difficulty Swallowing,Dry Mouth,Burning or Tingling Sensation,Redness and Swelling,Loss of Taste or Altered Taste,Sore Throat,Nausea and Vomiting,none,none,none,none,mucositis,"Mucositis is the inflammation and ulceration of the mucous membranes lining the digestive tract, particularly the mouth and the gastrointestinal tract. It can be a side effect of certain medical treatments, such as chemotherapy or radiation therapy, and may also occur as a result of certain infections or autoimmune conditions."
all,male,Sore Throat,Ear Pain,Difficulty Swallowing,Changes in Voice,Persistent Cough,Swollen Lymph Nodes,Unexplained Weight Loss,Visible Lesions,none,none,none,none,oropharyngeal cancer,"Oropharyngeal cancer is a type of cancer that occurs in the oropharynx, which includes the back of the throat, base of the tongue, tonsils, and soft palate. It is often associated with human papillomavirus (HPV) infection"
all,both,Severe pain,pain while swallowing,Abdominal pain,Gastrointestinal bleeding,Difficulty breathing,none,none,none,none,none,none,none,corrosive injury,"Corrosive injury refers to damage caused by the ingestion or contact with corrosive substances, such as strong acids or alkalis. These injuries can affect various parts of the body, including the gastrointestinal tract."
all,both,Swelling in the Neck,Difficulty Swallowing,Hoarseness,Breathing Difficulties,Pain or Discomfort,Thyroid Dysfunction,none,none,none,none,none,none,thyromegaly,"Thyromegaly, also known as goiter, is the enlargement of the thyroid gland, a butterfly-shaped gland located in the front of the neck. Goiters can be associated with various underlying causes, including iodine deficiency, autoimmune thyroid disorders, or other thyroid diseases"
all,both,Heartburn,Regurgitation,Chest Pain,Difficulty Swallowing,Belching,Hiccups,Nausea,none,none,none,none,none,Hiatal hernia,Hiatal hernia is a condition where a portion of the stomach protrudes through the diaphragm into the chest cavity. It can be categorized into sliding hiatal hernia and paraesophageal hiatal hernia
all,both,Cough,Shortness of Breath,Chest Pain,Fever,Weight Loss,none,none,none,none,none,none,none,Hilar lymphadenopathy,"Hilar lymphadenopathy refers to the enlargement of lymph nodes in the area of the lung hilum, which is the central part of the lung where the main bronchi, blood vessels, and nerves enter. Hilar lymphadenopathy is often associated with various underlying conditions, and its presence may be detected through imaging studies such as chest X-rays or CT scans"
all,both,Difficulty Swallowing,Breathing Difficulties,Chest Pain or Pressure,Thyroid Nodule,Weight Changes,Fatigue,none,none,none,none,none,none,substernal thyroid,"Substernal thyroid disease refers to the presence of thyroid tissue that extends into the region below the sternum (breastbone) in the chest. This condition can be associated with various thyroid disorders, and its symptoms and treatment may depend on the underlying cause."
all,both,Headaches,Seizures,Nausea and Vomiting,Vision Changes,Balance and Coordination Issues,Speech Problems,Memory and Concentration Issues,Personality or Mood Changes,Weakness or Numbness,Fatigue,none,none,Brain tumor,"Brain tumors can affect individuals of any gender and age. However, certain types of brain tumors may have a slightly higher incidence in specific age groups. For example, gliomas are more commonly diagnosed in old adult, while medulloblastomas are more frequently seen in children"
all,female,Dysphagia,Iron-Deficiency Anemia,Esophageal Webs,Glossitis,Angular Cheilitis,Nail Changes,none,none,none,none,none,none,plummer vinson dyndrome,"Plummer-Vinson syndrome, also known as Paterson-Kelly syndrome, is a rare condition characterized by the triad of dysphagia (difficulty swallowing), iron-deficiency anemia, and esophageal webs. Esophageal webs are thin, membranous tissues that can partially obstruct the esophagus."
all,both,Muscle Weakness,Loss of Muscle Mass,Difficulty Walking,Contractures,Gait Abnormalities,Cardiac Involvement,Respiratory Issues,Muscle Pain and Stiffness,Cognitive Impairment,Vision and Hearing Problems,none,none,muscnlar dystrophy,"Muscular dystrophy (MD) is a group of genetic disorders characterized by progressive weakness and loss of muscle mass. There are various types of muscular dystrophy, each with its specific characteristics."
middle adult,both,Severe Neck Pain,Swelling,Difficulty Swallowing,Fever,Voice Changes,Difficulty Breathing,Neck Stiffness,Ear Pain,Pus Drainage,none,none,none,Deep neck infection,"Deep neck infections are serious bacterial infections that occur in the deeper structures of the neck, such as the spaces between the muscles, glands, and other tissues. These infections can be potentially life-threatening and require prompt medical attention."
all,female,Joint Pain and Swelling,Morning Stiffness,Fatigue,Joint Warmth,Symmetrical Joint Involvement,Joint Deformities,Rheumatoid Nodules,Reduced Range of Motion,Systemic Symptoms,none,none,none,Rheunmatiod orthritis,"Rheumatoid arthritis (RA) is a chronic autoimmune disease that primarily affects the joints. It causes inflammation, pain, and swelling in the joints, and if left untreated, it can lead to joint damage and disability"
adolescence,both,Fever,Joint Pain,Swollen Joints,Skin Rash,Subcutaneous Nodules,Sydenham's Chorea,Cardiac Involvement,none,none,none,none,none,Rheumatic fever,"Rheumatic fever is an inflammatory condition that can develop as a complication of inadequately treated strep throat or strep throat infections. It primarily affects the heart, joints, skin, and central nervous system"
all,both,Joint Pain,Swelling,Morning Stiffness,Fatigue,Fever,Muscle Pain,Joint Deformities,Skin Changes,Difficulty Moving,Organ Involvement,Nail Changes,none,systemic iupus erythematosns,"Rheumatic diseases, also known as rheumatological diseases or autoimmune disorders, encompass a variety of conditions that affect the joints, muscles, bones, and other connective tissues. Examples of rheumatic diseases include rheumatoid arthritis, systemic lupus erythematosus (SLE), osteoarthritis, and others."
all,both,Severe Joint Pain,Swelling and Inflammation,Limited Range of Motion,Tenderness,Recurrent Attacks,Fever,none,none,none,none,none,none,Gout,Gout is a type of inflammatory arthritis caused by the buildup of uric acid crystals in the joints. It often affects the joints in the big toe but can involve other joints as well.
all,both,Skin Changes,Raynaud's Phenomenon,Gastrointestinal Issues,Joint Pain,Muscle Weakness,Lung Involvement,Kidney Involvement,Heart Issues,Autoimmune Features,Digital Ulcers,Fatigue,none,Systemic sclerosis,"ystemic sclerosis, also known as scleroderma, is a chronic autoimmune connective tissue disorder that affects the skin and various internal organs. It is characterized by fibrosis (hardening) of tissues, and its symptoms can vary widely from person to person."
all,both,Joint Pain,Stiffness,Swelling,Limited Range of Motion,Joint Crepitus,Tenderness,Bone Spurs,Joint Deformities,Weakness,Pain Relief with Rest,none,none,Osteoarthritis,Osteoarthritis is a degenerative joint disease characterized by the breakdown of joint cartilage and underlying bone. It is the most common form of arthritis and can affect any joint in the body.
all,both,Joint Pain,Psoriasis,Enthesitis,Dactylitis,Nail Changes,Fatigue,Morning Stiffness,Eye Inflammation,Back Pain,Tendonitis,none,none,psoriatic arthritis,"Psoriatic arthritis (PsA) is a type of inflammatory arthritis that can affect individuals with psoriasis, a chronic skin condition. Psoriatic arthritis involves joint inflammation and can lead to joint damage if not properly managed"
all,both,Arthritis,Urethritis,Conjunctivitis,Mucocutaneous Lesions,Enthesitis,Low Back Pain,Swelling of Fingers,Fever,none,none,none,none,Reactive arthritis,"Reactive arthritis is a type of inflammatory arthritis that typically occurs as a response to an infection in another part of the body, most commonly the genitourinary or gastrointestinal tract"
old adult,both,Joint Pain,Swelling,Fever,Redness,Limited Range of Motion,Generalized Fatigue,none,none,none,none,none,none,septic arthritis,"Septic arthritis, also known as infectious arthritis, is a serious condition where a joint becomes infected, usually by bacteria. It requires prompt medical attention and treatment"
all,both,Fever,Fatigue,Heart Murmur,Joint Pain,Shortness of Breath,Chest Pain,Small Skin Lesions,Janeway Lesions,Osler's Nodes,Weight Loss,none,none,infective endocarditis,Infective endocarditis is a serious infection of the inner lining of the heart chambers and heart valves. It is usually caused by bacteria entering the bloodstream and settling in the heart
all,both,Fatigue,Fever,Weight Loss,Muscle and Joint Pain,Skin Changes,Nerve Problems,Organ-Specific,Headaches,Vision Changes,none,none,none,rasculitis,"Vasculitis refers to a group of rare diseases characterized by inflammation of the blood vessels, affecting the arteries, veins, and capillaries. The specific symptoms and severity of vasculitis can vary depending on the type and extent of blood vessel involvement"
all,male,Back Pain,Reduced Spinal Mobility,Enthesitis,Fatigue,Morning Stiffness,Uveitis,Chest Pain,Peripheral Joint Involvement,Weight Loss,none,none,none,Ankylosing spondylitis,"nkylosing spondylitis (AS) is a chronic inflammatory arthritis that primarily affects the spine, causing inflammation and eventual fusion of the vertebrae"
all,both,Enlarged Lymph Nodes,Fatigue,Respiratory,Skin Lesions,Joint Pain,Fever,Weight Loss,Cardiac Involvement,Neurological Symptoms,none,none,none,sarcoido sis,"Sarcoidosis is a systemic inflammatory disease that can affect multiple organs in the body. It is characterized by the formation of granulomas, small clumps of inflammatory cells, in various tissues. Sarcoidosis can vary widely in its presentation and severity."
all,both,Abdominal Pain,Diarrhea,Weight Loss,Fatigue,Rectal Bleeding,Joint Pain,Skin Problems,Fever,Anemia,Mouth Sores,Eye Inflammation,none,IBD,"Inflammatory bowel disease (IBD) is a term that encompasses chronic inflammatory conditions of the gastrointestinal tract, primarily Crohn's disease and ulcerative colitis. These conditions can cause inflammation and damage to the digestive tract, leading to a range of symptoms"
all,both,Chest Pain,Shortness of Breath,Sweating,Nausea,Dizziness,Fatigue,none,none,none,none,none,none,myocardial infarction,"Myocardial infarction (MI), commonly known as a heart attack, is a medical emergency that occurs when blood flow to a part of the heart muscle is blocked, leading to damage or death of heart tissue"
all,both,Chest Pain,Shortness of Breath,Cough,Palpitations,Fatigue,Swelling,Fever,Elevated Heart Rate,none,none,none,none,pericardial effusion,"Pericardial effusion is a condition characterized by the accumulation of fluid in the pericardial sac, a double-layered membrane surrounding the heart. This accumulation of fluid can compress the heart, leading to impaired cardiac function"
all,both,Chest Pain,Fever,Shortness of Breath,Fatigue,Swelling,Pericardial Friction Rub,Dry Cough,none,none,none,none,none,pericrditis,"Pericarditis is the inflammation of the pericardium, the double-layered sac surrounding the heart. This condition can be acute or chronic and may cause chest pain and other symptoms."
all,both,Chest Pain,Painful Breathing,Shallow Breathing,Dry Cough,Fever,Shortness of Breath,none,none,none,none,none,none,pleurisy,"Pleurisy, also known as pleuritis, is inflammation of the pleura, the thin membranes that line the chest cavity and cover the lungs. It can cause sharp chest pain and discomfort, especially during breathing."
all,both,Shortness of Breath,Chest Pain,Rapid Heart Rate,Cough,Leg Swelling,Sweating,Fever,none,none,none,none,none,pulmonary embolism,Pulmonary embolism (PE) is a serious and potentially life-threatening condition that occurs when a blood clot (usually from the legs or pelvis) travels to the lungs and blocks blood vessels
old adult,both,Localized Chest Pain,Worsening Pain with Movement,Pain on Palpation,Pain Radiating to the Arm,Pain Worsened by Coughing,No Swelling,none,none,none,none,none,none,constochondritis,Costochondritis is a condition characterized by inflammation of the cartilage that connects a rib to the sternum (breastbone) or to the cartilage of the upper ribs. It can cause chest pain and discomfort
all,both,Pain,Fatigue,Cardiovascular,Neurological,Respiratory,Musculoskeletal,Skin,Genitourinary,Functional Seizures,none,none,none,psychogenic,"Psychogenic disease, also known as psychosomatic disorder or somatic symptom disorder, refers to physical symptoms that are primarily caused or significantly influenced by psychological factors. It's important to note that the term ""psychogenic disease"" is somewhat outdated, and current medical terminology, such as ""somatic symptom disorder,"" is used to describe these conditions."
